Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;-66.47202741654566;-21361.873505281004;21361.97692597891;-66.47202741654566;-21361.873505281004;-90.17828746777742
10209.515903;-19.994123922704837;-20902.581028767177;20902.590591339846;-19.994123922704837;-20902.581028767177;-90.05480560342608
10423.421498;59.87031945776365;-20438.014622379953;20438.102313076153;59.87031945776365;-20438.014622379953;-89.83216046791071
10641.808756;33.516699812464886;-20043.47979859433;20043.50782188151;33.516699812464886;-20043.47979859433;-89.90419010711618
10864.771573;37.922225887157104;-19572.45840278514;19572.495140476367;37.922225887157104;-19572.45840278514;-89.88898784560043
11092.405816;56.52225188769924;-19210.366549149952;19210.44970107826;56.52225188769924;-19210.366549149952;-89.83142033608226
11324.809359;68.59066290178806;-18841.76040034089;18841.885247047107;68.59066290178806;-18841.76040034089;-89.7914240466514
11562.082126;76.19171237281249;-18402.123787056462;18402.281517550575;76.19171237281249;-18402.123787056462;-89.76277528298844
11804.326134;129.11300141158435;-17972.33932708299;17972.803093979175;129.11300141158435;-17972.33932708299;-89.5883951071988
12051.645539;94.99864587304101;-17612.340446321352;17612.596649552976;94.99864587304101;-17612.340446321352;-89.69095710479789
12304.14668;133.466332352701;-17229.004317150684;17229.521265034284;133.466332352701;-17229.004317150684;-89.55616096849297
12561.938121;128.60492068985744;-16862.72057614044;16863.210976994145;128.60492068985744;-16862.72057614044;-89.56303751288766
12825.130702;157.49823052556698;-16535.77289261814;16536.522937088786;157.49823052556698;-16535.77289261814;-89.45429154848094
13093.837587;176.7230196905227;-16149.454578248104;16150.421486778207;176.7230196905227;-16149.454578248104;-89.37303894814758
13368.174308;157.1067984257467;-15814.189638721356;15814.9700118449;157.1067984257467;-15814.189638721356;-89.4308111532146
13648.25882;178.86176310743483;-15465.402775002296;15466.43703389215;178.86176310743483;-15465.402775002296;-89.33738762466976
13934.211547;186.87578482996395;-15137.989343452668;15139.142773665964;186.87578482996395;-15137.989343452668;-89.2927297235794
14226.15544;178.82462165482823;-14851.532529296697;14852.609087768653;178.82462165482823;-14851.532529296697;-89.31014520136922
14524.216021;175.876509297811;-14503.629273198712;14504.695606627165;175.876509297811;-14503.629273198712;-89.30524370038121
14828.521445;194.9898435880778;-14185.142159779536;14186.482267717298;194.9898435880778;-14185.142159779536;-89.21245826316436
15139.202552;181.6275524191296;-13894.745293609662;13895.932330796868;181.6275524191296;-13894.745293609662;-89.25109101869081
15456.392922;183.74731157720618;-13564.534576958657;13565.779054813578;183.74731157720618;-13564.534576958657;-89.22390985788508
15780.228934;213.70130162549916;-13291.446236545287;13293.164081786183;213.70130162549916;-13291.446236545287;-89.07887166360257
16110.849827;215.2910660331985;-13000.216706941834;13001.999256674462;215.2910660331985;-13000.216706941834;-89.05123566367948
16448.397752;225.46701953000533;-12715.990868685587;12717.989587564183;225.46701953000533;-12715.990868685587;-88.98419594342953
16793.017844;259.3485793487181;-12434.844822282255;12437.549092962407;259.3485793487181;-12434.844822282255;-88.80517809702316
17144.858275;277.5824139674808;-12177.299133699233;12180.46247841748;277.5824139674808;-12177.299133699233;-88.69416471048316
17504.070322;247.72037215083733;-11925.806756231816;11928.37927674011;247.72037215083733;-11925.806756231816;-88.81003513452913
17870.808433;279.1784444927309;-11662.452806714024;11665.793846657036;279.1784444927309;-11662.452806714024;-88.62870251039385
18245.23029;285.89981178933544;-11424.510435355502;11428.087214837307;285.89981178933544;-11424.510435355502;-88.56646510891429
18627.496881;311.80010587682034;-11177.965867890345;11182.31372524248;311.80010587682034;-11177.965867890345;-88.40219597731125
19017.772565;294.1283481281225;-10921.137054967508;10925.097073186898;294.1283481281225;-10921.137054967508;-88.45728149443444
19416.225145;327.5837752903148;-10684.019816694898;10689.040676008428;327.5837752903148;-10684.019816694898;-88.24379870604389
19823.02594;316.03195783781837;-10437.795566439541;10442.578823507138;316.03195783781837;-10437.795566439541;-88.26574805992111
20238.349859;337.90975222671574;-10206.713830595418;10212.305822894148;337.90975222671574;-10206.713830595418;-88.1038232116787
20662.375475;347.7694462229627;-9970.275555789596;9976.338919969678;347.7694462229627;-9970.275555789596;-88.00229729208728
21095.285101;352.79103511260536;-9758.194977183017;9764.570176263556;352.79103511260536;-9758.194977183017;-87.92946978692422
21537.264873;382.43978116144217;-9528.317023847272;9535.988962512096;382.43978116144217;-9528.317023847272;-87.70154268692511
21988.504824;388.788290472185;-9313.68497592623;9321.796187731326;388.788290472185;-9313.68497592623;-87.60964614724486
22449.198969;403.22303400038476;-9103.827385856357;9112.75270632407;403.22303400038476;-9103.827385856357;-87.46393605210302
22919.54539;391.2553592730715;-8890.019864154629;8898.625396162251;391.2553592730715;-8890.019864154629;-87.48000293253033
23399.746316;410.66874369432117;-8690.122188713163;8699.820255143915;410.66874369432117;-8690.122188713163;-87.29438860215882
23890.008215;403.3285721348469;-8490.091376690374;8499.666200601796;403.3285721348469;-8490.091376690374;-87.28016304403539
24390.541881;426.3246686386161;-8279.24497753817;8290.214117933316;426.3246686386161;-8279.24497753817;-87.05226151325736
24901.562522;438.7372663772385;-8089.433831849078;8101.322738218286;438.7372663772385;-8089.433831849078;-86.89555662606251
25423.289859;454.70845091820655;-7906.741533653904;7919.805645048628;454.70845091820655;-7906.741533653904;-86.70860486449384
25955.948214;462.16464951618036;-7715.285167993833;7729.115174890851;462.16464951618036;-7715.285167993833;-86.57193759965965
26499.766608;469.52486397628815;-7530.737591035555;7545.360313658185;469.52486397628815;-7530.737591035555;-86.43235262682414
27054.978862;487.63175824882325;-7346.052393255106;7362.219128503437;487.63175824882325;-7346.052393255106;-86.20227137522086
27621.823696;505.0603712209097;-7175.054593153361;7192.808519160575;505.0603712209097;-7175.054593153361;-85.97352548822491
28200.544831;513.8959882830203;-7000.529192041305;7019.365929725837;513.8959882830203;-7000.529192041305;-85.8015527421168
28791.391094;529.5676247658669;-6828.513035503617;6849.016874358172;529.5676247658669;-6828.513035503617;-85.56545050104128
29394.616526;548.2496143440661;-6655.412035973354;6677.9553014532385;548.2496143440661;-6655.412035973354;-85.29080647610415
30010.48049;621.2404006709888;-6435.067553337111;6464.985232112902;621.2404006709888;-6435.067553337111;-84.48576295489016
30639.247783;642.1564233507384;-6259.3787050028395;6292.232246563507;642.1564233507384;-6259.3787050028395;-84.14245679904735
31281.188751;673.569451551143;-6109.651531765873;6146.668825117552;673.569451551143;-6109.651531765873;-83.70873107413044
31936.579403;676.3519986662643;-5956.376709164659;5994.65391224373;676.3519986662643;-5956.376709164659;-83.52176003846408
32605.701532;703.3224134126256;-5778.006443840409;5820.654678150032;703.3224134126256;-5778.006443840409;-83.05986733371942
33288.842834;725.3229423459023;-5637.428403515159;5683.897639424269;725.3229423459023;-5637.428403515159;-82.66848713537485
33986.297032;733.5392413843527;-5486.286165857599;5535.1075610444295;733.5392413843527;-5486.286165857599;-82.3844823970049
34698.364005;757.3244963058592;-5350.15967229461;5403.494139142976;757.3244963058592;-5350.15967229461;-81.94320830003826
35425.349913;792.3119919134978;-5188.7131873238295;5248.8572882902945;792.3119919134978;-5188.7131873238295;-81.31804885029888
36167.567333;817.482563755926;-5051.971722184153;5117.684635046719;817.482563755926;-5051.971722184153;-80.808380549003
36925.335387;835.8718963430895;-4910.933948483363;4981.561409183128;835.8718963430895;-4910.933948483363;-80.34046696926622
37698.979888;868.9629976922937;-4775.520735093401;4853.936029931316;868.9629976922937;-4775.520735093401;-79.68718080116992
38488.833471;904.3970138142904;-4644.264595228561;4731.503734447402;904.3970138142904;-4644.264595228561;-78.98046469465702
39295.235743;939.9864620009565;-4541.855980988386;4638.106327024538;939.9864620009565;-4541.855980988386;-78.30709701557379
40118.533425;976.3819728074511;-4374.0518668471195;4481.701852052649;976.3819728074511;-4374.0518668471195;-77.41664934060788
40959.080503;1017.0264302178864;-4254.7906220876885;4374.6526716491535;1017.0264302178864;-4254.7906220876885;-76.5567795388968
41817.238378;1064.8626966304578;-4127.924742884122;4263.061722000988;1064.8626966304578;-4127.924742884122;-75.53501815399505
42693.376026;1110.1922192253098;-4002.096553863784;4153.22809271015;1110.1922192253098;-4002.096553863784;-74.49584414722365
43587.870151;1160.952741403163;-3872.593624195646;4042.869358009518;1160.952741403163;-3872.593624195646;-73.3119593159196
44501.105351;1220.4500061816666;-3760.920616003792;3953.9881256107956;1220.4500061816666;-3760.920616003792;-72.02132229108668
45433.47428;1281.3551352979246;-3648.3400486153046;3866.814721845965;1281.3551352979246;-3648.3400486153046;-70.64791270835616
46385.377822;1349.3819433501378;-3540.798351769069;3789.2063281022256;1349.3819433501378;-3540.798351769069;-69.13838670417712
