Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;847.2732538638172;1545.6495522088435;1762.6413432563013;847.2732538638172;1545.6495522088435;61.26992414331429
10209.515903;860.901598341986;1569.5544679986426;1790.1544039669561;860.901598341986;1569.5544679986426;61.255204377052095
10423.421498;875.0761425613816;1593.2607767373804;1817.7563527519048;875.0761425613816;1593.2607767373804;61.222825680665125
10641.808756;889.1878443641743;1617.6920764326078;1845.963888248589;889.1878443641743;1617.6920764326078;61.2039683707988
10864.771573;904.2002807282367;1643.6239999239137;1875.9205742234685;904.2002807282367;1643.6239999239137;61.18366435183422
11092.405816;919.2900860088995;1668.954724992564;1905.3881852024945;919.2900860088995;1668.954724992564;61.15324135132928
11324.809359;934.7532648920042;1695.4003778438805;1936.012940922512;934.7532648920042;1695.4003778438805;61.130003442054864
11562.082126;950.1792716332951;1722.2599188666943;1966.982429096989;950.1792716332951;1722.2599188666943;61.11426236568425
11804.326134;966.6506603711658;1750.0475815392615;1999.269875941572;966.6506603711658;1750.0475815392615;61.08563651586963
12051.645539;983.4604263596458;1778.606710423305;2032.3966740226442;983.4604263596458;1778.606710423305;61.06009735373009
12304.14668;1000.5457671485744;1807.396100983303;2065.8587797835007;1000.5457671485744;1807.396100983303;61.03178307004306
12561.938121;1018.2698510113452;1837.8551986658993;2101.0914355976843;1018.2698510113452;1837.8551986658993;61.01120783357338
12825.130702;1037.614685110841;1867.0036674438343;2135.965104819458;1037.614685110841;1867.0036674438343;60.9362409474039
13093.837587;1055.962500816206;1898.878939284223;2172.739751831128;1055.962500816206;1898.878939284223;60.92165817194264
13368.174308;1075.49749034599;1929.815717512949;2209.2721777319657;1075.49749034599;1929.815717512949;60.86882259264338
13648.25882;1095.704813041641;1962.5653477951505;2247.7170154823575;1095.704813041641;1962.5653477951505;60.82527500863144
13934.211547;1116.2750923168126;1995.9230843400687;2286.871015236426;1116.2750923168126;1995.9230843400687;60.78269212072192
14226.15544;1137.8612783230597;2030.4245612614448;2327.5206095071894;1137.8612783230597;2030.4245612614448;60.73348586408817
14524.216021;1160.0245316561034;2064.860951389669;2368.3976994199706;1160.0245316561034;2064.860951389669;60.67302532076223
