Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;431.0477235417876;800.8994437023073;909.5284816283779;431.0477235417876;800.8994437023073;61.710660274026914
10209.515903;437.7383206588569;812.6698033236206;923.0639450261766;437.7383206588569;812.6698033236206;61.69121650755034
10423.421498;444.5588330966299;824.6123481550283;936.8127245154107;444.5588330966299;824.6123481550283;61.67033763102498
10641.808756;451.54434870551836;836.8682210889322;950.9157261905202;451.54434870551836;836.8682210889322;61.65027797346117
10864.771573;458.81817876820475;849.2715004440688;965.2855549704927;458.81817876820475;849.2715004440688;61.61990392052291
11092.405816;466.23247782062833;861.7785632392189;979.8137656888757;466.23247782062833;861.7785632392189;61.58608347247397
11324.809359;473.6220979508993;874.9126662099097;994.8819352877726;473.6220979508993;874.9126662099097;61.57170244949876
11562.082126;481.18610021879596;888.1111948982606;1010.0898759750982;481.18610021879596;888.1111948982606;61.550793441701316
11804.326134;489.03058770747197;901.4880879444676;1025.58845957786;489.03058770747197;901.4880879444676;61.521479977427234
12051.645539;497.1015494835998;915.2713567618566;1041.552498440518;497.1015494835998;915.2713567618566;61.49276054813125
12304.14668;505.32806513978034;929.2804125188622;1057.7894584978342;505.32806513978034;929.2804125188622;61.463348230454365
12561.938121;513.6423653189189;943.4849554481904;1074.2403551382195;513.6423653189189;943.4849554481904;61.43569859646122
12825.130702;522.1118603032594;958.289422534601;1091.2925419020462;522.1118603032594;958.289422534601;61.416801880725
13093.837587;530.9639118900253;973.2285224022226;1108.6462161333397;530.9639118900253;973.2285224022226;61.3844592777515
13368.174308;539.8203899520084;988.5137662407999;1126.3061393136013;539.8203899520084;988.5137662407999;61.36135769135774
13648.25882;549.259177119058;1004.0960125097948;1144.506201812631;549.259177119058;1004.0960125097948;61.32052118022603
13934.211547;558.9583425425943;1020.0083414127428;1163.121423261363;558.9583425425943;1020.0083414127428;61.27752778309428
14226.15544;568.8649710953956;1036.330654320947;1182.1965066877196;568.8649710953956;1036.330654320947;61.23663636058672
14524.216021;578.8113491170285;1052.9734457538564;1201.572159851178;578.8113491170285;1052.9734457538564;61.20274538339913
14828.521445;589.1494839894464;1070.0815123387817;1221.5447423382761;589.1494839894464;1070.0815123387817;61.16435604830257
15139.202552;599.8008519158611;1087.1368610553013;1241.6229768428766;599.8008519158611;1087.1368610553013;61.11336956865369
15456.392922;610.5741880260409;1105.0876180894081;1262.5448438523601;610.5741880260409;1105.0876180894081;61.07882219201332
