Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;-183.12702393609771;-21526.455363761965;21527.23428671068;-183.12702393609771;-21526.455363761965;-90.4874073463322
10209.515903;-100.1032251965736;-21104.276711349907;21104.514118190942;-100.1032251965736;-21104.276711349907;-90.27176715814294
10423.421498;-117.59659246326224;-20670.170386431477;20670.504898590836;-117.59659246326224;-20670.170386431477;-90.32596324146809
10641.808756;-71.1426905720498;-20281.138040880396;20281.262818564028;-71.1426905720498;-20281.138040880396;-90.20098276467499
10864.771573;-35.156831310977836;-19836.638552745717;19836.669707263503;-35.156831310977836;-19836.638552745717;-90.10154623429437
11092.405816;-93.23050412562492;-19440.509368009247;19440.73291865702;-93.23050412562492;-19440.509368009247;-90.27477024172202
11324.809359;-35.853851435680845;-18998.26534000491;18998.299171975756;-35.853851435680845;-18998.26534000491;-90.10812944713466
11562.082126;-50.831438580796664;-18629.596765398335;18629.666112855815;-50.831438580796664;-18629.596765398335;-90.1563329419529
11804.326134;-6.523101903741387;-18218.987600928765;18218.98876869006;-6.523101903741387;-18218.987600928765;-90.0205141032331
12051.645539;-25.17361848821427;-17824.797974169604;17824.81575026874;-25.17361848821427;-17824.797974169604;-90.08091767085403
12304.14668;-1.1361911775520706;-17476.04756503158;17476.047601965856;-1.1361911775520706;-17476.04756503158;-90.0037250390204
12561.938121;22.805409907122986;-17098.29976952319;17098.314978242674;22.805409907122986;-17098.29976952319;-89.92357994768352
12825.130702;47.62603802141006;-16771.895797078352;16771.963417189774;47.62603802141006;-16771.895797078352;-89.83730141946336
13093.837587;15.586824049235101;-16364.008519786077;16364.015943059798;15.586824049235101;-16364.008519786077;-89.94542541560811
13368.174308;26.99844450637972;-16052.98837944262;16053.0110828631;26.99844450637972;-16052.98837944262;-89.90363816203099
13648.25882;35.15869103416028;-15731.605788378105;15731.645076548311;35.15869103416028;-15731.605788378105;-89.87194941936347
13934.211547;38.63426842845292;-15382.815582453237;15382.864097770063;38.63426842845292;-15382.815582453237;-89.85610073400093
14226.15544;37.54619560716183;-15071.493181127917;15071.539948710944;37.54619560716183;-15071.493181127917;-89.85726470038811
14524.216021;17.507142634603515;-14737.685486212004;14737.695884721843;17.507142634603515;-14737.685486212004;-89.93193741897927
14828.521445;36.56115048456861;-14434.862321367713;14434.908623007146;36.56115048456861;-14434.862321367713;-89.85487945151637
15139.202552;43.446523185700315;-14122.423990756852;14122.49082049911;43.446523185700315;-14122.423990756852;-89.82373461089202
15456.392922;67.08444773120102;-13835.95958081542;13836.122211265894;67.08444773120102;-13835.95958081542;-89.72220028655066
15780.228934;58.53900201639626;-13549.308115225476;13549.434571821514;58.53900201639626;-13549.308115225476;-89.75245843883035
16110.849827;84.12275964317715;-13266.593985372607;13266.860691641208;84.12275964317715;-13266.593985372607;-89.63669540977658
16448.397752;78.15803765227352;-13013.107880602121;13013.342591011684;78.15803765227352;-13013.107880602121;-89.65587991063258
16793.017844;99.31033775476783;-12716.77451582443;12717.162286827459;99.31033775476783;-12716.77451582443;-89.55256362060717
17144.858275;111.18787738038317;-12472.031224144024;12472.52683300781;111.18787738038317;-12472.031224144024;-89.48922294781872
17504.070322;80.9189233476593;-12182.786650716256;12183.055382334349;80.9189233476593;-12182.786650716256;-89.61944301044808
17870.808433;104.23560115760574;-11940.752770093299;11941.207718528285;104.23560115760574;-11940.752770093299;-89.4998549552906
18245.23029;117.80743197883555;-11705.781431491747;11706.374225732168;117.80743197883555;-11705.781431491747;-89.423392550553
18627.496881;126.61153522810585;-11462.713332155803;11463.412555431965;126.61153522810585;-11462.713332155803;-89.36716452718359
19017.772565;129.17270268011654;-11211.480046138851;11212.224150991957;129.17270268011654;-11211.480046138851;-89.33989774719511
19416.225145;130.0254217380209;-10968.188270211347;10968.958954299169;130.0254217380209;-10968.188270211347;-89.32080314923935
19823.02594;143.67943340481563;-10749.090106312135;10750.050320496222;143.67943340481563;-10749.090106312135;-89.23419239854185
20238.349859;136.77236155894676;-10506.340161070302;10507.230380029037;136.77236155894676;-10506.340161070302;-89.25416117196163
