Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;599.9687594032009;1103.6483858353508;1256.1856040477423;599.9687594032009;1103.6483858353508;61.47047526290745
10209.515903;609.2253402570734;1120.1945182938841;1275.1436287834456;609.2253402570734;1120.1945182938841;61.460143391016466
10423.421498;618.5416315844841;1136.850399696968;1294.2266344401785;618.5416315844841;1136.850399696968;61.450114316906564
10641.808756;628.514372991537;1153.7561158642404;1313.8430240904288;628.514372991537;1153.7561158642404;61.42044139996176
10864.771573;637.984168952493;1171.400521364469;1333.8676775778597;637.984168952493;1171.400521364469;61.42580082373201
11092.405816;647.9608764966403;1188.9279829101804;1354.0321436425224;647.9608764966403;1188.9279829101804;61.409797040642154
11324.809359;658.518859602133;1207.194443202017;1375.1238170250424;658.518859602133;1207.194443202017;61.387742023024735
11562.082126;668.9303072839823;1225.944114756258;1396.5696289510765;668.9303072839823;1225.944114756258;61.381129827013744
11804.326134;679.5413085892384;1244.8783607390556;1418.273077765891;679.5413085892384;1244.8783607390556;61.37121362011361
12051.645539;690.7582718134383;1264.4622955228883;1440.8372173419523;690.7582718134383;1264.4622955228883;61.352830130377214
12304.14668;702.3605423418614;1283.7550213567904;1463.3308874952127;702.3605423418614;1283.7550213567904;61.31630665284825
12561.938121;713.7820973265148;1304.043496303492;1486.6116919744961;713.7820973265148;1304.043496303492;61.30543817004828
12825.130702;725.3765220542723;1324.7684754542158;1510.3584383532407;725.3765220542723;1324.7684754542158;61.29710618849402
13093.837587;738.0342246192897;1345.6514395657944;1534.754805666003;738.0342246192897;1345.6514395657944;61.25705123054552
13368.174308;750.5070880033147;1367.2914795325805;1559.7265398606282;750.5070880033147;1367.2914795325805;61.237591124911134
13648.25882;763.2516975187574;1389.4165186053042;1585.2543694746748;763.2516975187574;1389.4165186053042;61.218575730769544
13934.211547;776.5524752795584;1411.684554655142;1611.1756666219533;776.5524752795584;1411.684554655142;61.185281084433996
14226.15544;790.334275661342;1434.6032803246526;1637.8995204845114;790.334275661342;1434.6032803246526;61.14928402916386
14524.216021;804.2735037038626;1457.961882927147;1665.085199270163;804.2735037038626;1457.961882927147;61.11701136430604
14828.521445;818.9603708115922;1482.0214791134497;1693.246512919332;818.9603708115922;1482.0214791134497;61.075099379696695
15139.202552;833.8385219374425;1506.5283122162634;1721.8926320116484;833.8385219374425;1506.5283122162634;61.036196924137876
15456.392922;848.9025499558877;1531.6581155357228;1751.174497932188;848.9025499558877;1531.6581155357228;61.00313082243281
15780.228934;864.9855963239835;1557.2282230435849;1781.3365264574343;864.9855963239835;1557.2282230435849;60.94936583472428
16110.849827;881.0910512510337;1583.01847085167;1811.703319987081;881.0910512510337;1583.01847085167;60.90015824354959
16448.397752;898.0215019390195;1610.4039380541046;1843.8664435487135;898.0215019390195;1610.4039380541046;60.85432684790869
16793.017844;915.3560324108989;1637.711732995941;1876.1600108902203;915.3560324108989;1637.711732995941;60.79813708624381
17144.858275;933.6537324952081;1665.608421639607;1909.4398933820924;933.6537324952081;1665.608421639607;60.7272700448436
17504.070322;951.9799119110593;1693.9633048106105;1943.135978444914;951.9799119110593;1693.9633048106105;60.664719299141865
17870.808433;971.3354014922389;1723.7736347923908;1978.6075927776735;971.3354014922389;1723.7736347923908;60.59901922524282
18245.23029;991.1393730960799;1753.2261317006135;2013.9908455053085;991.1393730960799;1753.2261317006135;60.519517483705584
18627.496881;1011.4445475868462;1784.0835182329947;2050.8471598034266;1011.4445475868462;1784.0835182329947;60.44994233654884
19017.772565;1032.5460914216728;1816.3518578487065;2089.32656672446;1032.5460914216728;1816.3518578487065;60.38296028397858
19416.225145;1055.531042978542;1847.538477495286;2127.8026714234966;1055.531042978542;1847.538477495286;60.259916846501504
19823.02594;1078.0171975911587;1880.6958718344786;2167.7495336494812;1078.0171975911587;1880.6958718344786;60.17861189753202
20238.349859;1102.72118754543;1914.8623946846174;2209.681426821276;1102.72118754543;1914.8623946846174;60.063439880032625
20662.375475;1127.9894432670603;1948.5002479376474;2251.446957033411;1127.9894432670603;1948.5002479376474;59.93339155419651
21095.285101;1153.5014051837234;1984.6056840994868;2295.479299214179;1153.5014051837234;1984.6056840994868;59.83379737305537
21537.264873;1181.5353515229683;2020.868965972538;2340.926561114086;1181.5353515229683;2020.868965972538;59.68658370379597
21988.504824;1209.1707768600172;2057.595031057594;2386.585694972037;1209.1707768600172;2057.595031057594;59.55885691374016
22449.198969;1239.68279065339;2095.588288619055;2434.8108133568644;1239.68279065339;2095.588288619055;59.392802789695246
22919.54539;1269.6626419131615;2136.4987213944964;2485.2907296310887;1269.6626419131615;2136.4987213944964;59.278144493788105
23399.746316;1301.4028360438847;2177.1098459250816;2536.4259545445043;1301.4028360438847;2177.1098459250816;59.13044150245693
23890.008215;1335.2909891537606;2217.392425170323;2588.403212970876;1335.2909891537606;2217.392425170323;58.94408007822112
24390.541881;1370.8571398926574;2259.391887876106;2642.744974641903;1370.8571398926574;2259.391887876106;58.75325312827538
24901.562522;1407.072824518648;2304.307673791829;2699.942182528136;1407.072824518648;2304.307673791829;58.590627940863016
25423.289859;1446.8550054294847;2349.1610703568817;2758.9757413244224;1446.8550054294847;2349.1610703568817;58.37096587654688
25955.948214;1488.1265822016678;2394.1186310482894;2818.922621177771;1488.1265822016678;2394.1186310482894;58.13590945875003
26499.766608;1529.9096904677108;2441.486301703973;2881.2287348274085;1529.9096904677108;2441.486301703973;57.92748857840868
27054.978862;1575.2974850272094;2490.13515749436;2946.580266838579;1575.2974850272094;2490.13515749436;57.6819305258837
27621.823696;1623.072983165713;2539.1960059429057;3013.616144315472;1623.072983165713;2539.1960059429057;57.412983505213596
28200.544831;1674.0906116061024;2589.916920185185;3083.869165403942;1674.0906116061024;2589.916920185185;57.12186707110676
28791.391094;1727.0552145256256;2642.6964134415853;3156.9865453684106;1727.0552145256256;2642.6964134415853;56.834577180855895
29394.616526;1782.6269424952816;2695.9780122621623;3232.035930912761;1782.6269424952816;2695.9780122621623;56.52663804391893
30010.48049;1862.5480075037112;2742.6267778450806;3315.2807909450044;1862.5480075037112;2742.6267778450806;55.81914273643298
30639.247783;1922.8654999103537;2796.5189043449727;3393.807553928817;1922.8654999103537;2796.5189043449727;55.48787727830981
31281.188751;1991.0295424584522;2849.8955084750282;3476.507305927668;1991.0295424584522;2849.8955084750282;55.06059991146546
31936.579403;2066.3291221863483;2907.5146787918147;3566.981587923503;2066.3291221863483;2907.5146787918147;54.59913596677762
32605.701532;2143.8232271009774;2969.2982998069674;3662.336743432285;2143.8232271009774;2969.2982998069674;54.17084435359895
33288.842834;2227.3005073637605;3032.411009492198;3762.4970538981634;2227.3005073637605;3032.411009492198;53.70278384161284
33986.297032;2312.2387480273787;3093.229847723259;3861.9320189155683;2312.2387480273787;3093.229847723259;53.22129820099613
34698.364005;2405.687138568086;3160.3599140782107;3971.801278410633;2405.687138568086;3160.3599140782107;52.72136620161209
35425.349913;2512.3713685233192;3221.6585356230685;4085.4734870671614;2512.3713685233192;3221.6585356230685;52.05154468755591
36167.567333;2624.7516401897965;3280.966623912311;4201.673852157683;2624.7516401897965;3280.966623912311;51.340422375788116
36925.335387;2730.562467095749;3345.879069494639;4318.666244848558;2730.562467095749;3345.879069494639;50.782212658841715
37698.979888;2841.519902760128;3410.495396686139;4439.111871602165;2841.519902760128;3410.495396686139;50.19997754451723
38488.833471;2985.9079548198856;3481.392368053107;4586.473496597914;2985.9079548198856;3481.392368053107;49.38108855890876
39295.235743;3099.147651518403;3536.0832609703525;4701.978412798889;3099.147651518403;3536.0832609703525;48.767536419185
40118.533425;3275.265370388636;3594.0722790474424;4862.58355131141;3275.265370388636;3594.0722790474424;47.65719835107984
40959.080503;3441.611176957007;3660.2222582276613;5024.133206134228;3441.611176957007;3660.2222582276613;46.76314165707981
41817.238378;3623.889628403896;3716.065422540497;5190.54123030098;3623.889628403896;3716.065422540497;45.71948756329487
42693.376026;3812.8822118561725;3770.2800418953966;5362.190070838964;3812.8822118561725;3770.2800418953966;44.67811596592417
43587.870151;4030.446872063941;3806.780504812113;5544.012968991647;4030.446872063941;3806.780504812113;43.365281399584305
44501.105351;4245.9033799104855;3842.134817123943;5726.228729669408;4245.9033799104855;3842.134817123943;42.14207024249631
45433.47428;4504.948328328891;3867.8699624629953;5937.5902087830855;4504.948328328891;3867.8699624629953;40.64881247780178
46385.377822;4761.277095257406;3891.80842172304;6149.46602309641;4761.277095257406;3891.80842172304;39.26213494919397
47357.225256;5050.492442865872;3880.995530326674;6369.426993212254;5050.492442865872;3880.995530326674;37.54008161008425
48349.43444;5343.7334549521465;3860.6917021415866;6592.452324936427;5343.7334549521465;3860.6917021415866;35.84701424456992
49362.431984;5690.341636030268;3811.414733262924;6848.859043933765;5690.341636030268;3811.414733262924;33.814341778456665
50396.653437;5997.6416333345205;3704.081151722403;7049.249771461694;5997.6416333345205;3704.081151722403;31.699046939616284
51452.543475;6342.028803968208;3574.404008319293;7279.951467218133;6342.028803968208;3574.404008319293;29.40585863615706
52530.556088;6716.063584174718;3429.061418155487;7540.820398084035;6716.063584174718;3429.061418155487;27.047769400927137
