Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;432.67552144213346;801.9511733712496;911.2265312899674;432.67552144213346;801.9511733712496;61.651873285380674
10209.515903;439.4249286668429;813.554640540926;924.6434021175597;439.4249286668429;813.554640540926;61.62520567994424
10423.421498;446.166431760396;825.5374900930408;938.3904477236122;446.166431760396;825.5374900930408;61.61074311841094
10641.808756;453.01055095683415;837.8741248797705;952.4975634726084;453.01055095683415;837.8741248797705;61.60139154231848
10864.771573;460.1561240203006;850.2583015420034;966.7899657187588;460.1561240203006;850.2583015420034;61.57793925888323
11092.405816;467.4902630146048;863.0824926623935;981.5592367013795;467.4902630146048;863.0824926623935;61.55772598216265
11324.809359;474.89960241646514;875.9416182267855;996.3951780880295;474.89960241646514;875.9416182267855;61.53526773853116
11562.082126;482.6169037384986;889.0276141457259;1011.5775672126073;482.6169037384986;889.0276141457259;61.504266145835835
11804.326134;490.18263062022305;902.9125480591264;1027.3899361023477;490.18263062022305;902.9125480591264;61.50288589388493
12051.645539;498.4169840129376;916.3986186569031;1043.1710877074925;498.4169840129376;916.3986186569031;61.45882047893806
12304.14668;506.62014181403686;930.5319387490279;1059.5063270805415;506.62014181403686;930.5319387490279;61.434296315999056
12561.938121;515.0627519812856;944.8524078965673;1076.1206768696886;515.0627519812856;944.8524078965673;61.404090497119796
12825.130702;523.4364937379025;959.6996153825548;1093.1647244317999;523.4364937379025;959.6996153825548;61.39119789199747
13093.837587;532.1658756054883;974.6013537990793;1110.427088099869;532.1658756054883;974.6013537990793;61.36394096091035
13368.174308;541.2348338874007;989.9332711988418;1128.2300416313872;541.2348338874007;989.9332711988418;61.332865204759436
13648.25882;550.4686576699451;1005.6668001639284;1146.4647644079191;550.4686576699451;1005.6668001639284;61.30516536062776
13934.211547;559.9524038923504;1021.6261206284441;1165.0178646592274;559.9524038923504;1021.6261206284441;61.27289020574596
14226.15544;569.8294602062108;1037.7917576112877;1183.9414452939923;569.8294602062108;1037.7917576112877;61.22974445271934
14524.216021;579.716633547986;1054.5134823969688;1203.3578269863008;579.716633547986;1054.5134823969688;61.200294536714786
14828.521445;590.1453677251527;1071.5731534677361;1223.331753156209;590.1453677251527;1071.5731534677361;61.157190898727016
15139.202552;600.9157922380351;1088.8868378239074;1243.6938268509714;600.9157922380351;1088.8868378239074;61.10734185048144
15456.392922;611.7273571950057;1106.7457461216845;1264.5538763133939;611.7273571950057;1106.7457461216845;61.06942182220717
15780.228934;623.320974110834;1124.6902859418465;1285.868296544569;623.320974110834;1124.6902859418465;61.004093217641014
16110.849827;634.7377598266505;1143.30917864137;1307.6879986125737;634.7377598266505;1143.30917864137;60.962018690072306
16448.397752;647.0022220943332;1162.232514149541;1330.186562983316;647.0022220943332;1162.232514149541;60.89578836020411
16793.017844;659.3814223737297;1181.865324662753;1353.3622965827728;659.3814223737297;1181.865324662753;60.84215864176456
17144.858275;672.2294060649813;1201.772058975233;1377.007064655824;672.2294060649813;1201.772058975233;60.77887171751485
17504.070322;685.5826539021834;1221.9246253392573;1401.1150435785228;685.5826539021834;1221.9246253392573;60.7046169335862
17870.808433;699.3943476431721;1242.9287821387477;1426.192277003395;699.3943476431721;1242.9287821387477;60.63360107491093
18245.23029;713.1134875493996;1264.0138031262397;1451.2965722479084;713.1134875493996;1264.0138031262397;60.56979069796799
18627.496881;727.7611432457205;1285.473621533464;1477.1860794350446;727.7611432457205;1285.473621533464;60.48395923449755
19017.772565;743.0217067380918;1308.176868019017;1504.4626863781075;743.0217067380918;1308.176868019017;60.40417846797352
19416.225145;758.9700414198547;1330.6648102527445;1531.8956756312841;758.9700414198547;1330.6648102527445;60.30090207823326
19823.02594;775.1605658829293;1354.4786069956417;1560.60443409238;775.1605658829293;1354.4786069956417;60.217734200023294
20238.349859;792.4248122505602;1378.1675749193746;1589.7430445293621;792.4248122505602;1378.1675749193746;60.101771263034884
20662.375475;809.8501098032772;1402.449889588551;1619.482291707853;809.8501098032772;1402.449889588551;59.995548479539885
21095.285101;828.3822547218981;1427.4185109373866;1650.3759466572583;828.3822547218981;1427.4185109373866;59.87186637543272
21537.264873;847.5617545191002;1453.4390369526093;1682.5118014032544;847.5617545191002;1453.4390369526093;59.751730869756045
21988.504824;867.2390378338828;1479.6987565816753;1715.112812316553;867.2390378338828;1479.6987565816753;59.625789989755475
22449.198969;888.3308051067651;1506.1515378271583;1748.6063233903585;888.3308051067651;1506.1515378271583;59.4678219477569
22919.54539;909.958756447252;1534.589859190454;1784.093880479726;909.958756447252;1534.589859190454;59.333523999787566
23399.746316;932.4149491349158;1563.7042351134794;1820.5956641391024;932.4149491349158;1563.7042351134794;59.19296775719882
23890.008215;955.8526025792199;1592.6420323577422;1857.4613969313245;955.8526025792199;1592.6420323577422;59.029171057729776
24390.541881;980.53948628855;1622.4879575796347;1895.764979279327;980.53948628855;1622.4879575796347;58.85362027836709
24901.562522;1006.2519751775612;1653.3614115751243;1935.496575774401;1006.2519751775612;1653.3614115751243;58.67489598522333
25423.289859;1033.5268879991336;1684.6263924956627;1976.3966986691019;1033.5268879991336;1684.6263924956627;58.47067185417461
25955.948214;1062.1320273384301;1717.0078645271535;2018.9701459769383;1062.1320273384301;1717.0078645271535;58.25928303682753
26499.766608;1092.4572375659357;1750.3420738868228;2063.2886835168315;1092.4572375659357;1750.3420738868228;58.03009352989182
27054.978862;1123.0751311333283;1784.3338221610957;2108.35123712302;1123.0751311333283;1784.3338221610957;57.813334034469065
27621.823696;1156.6032433435732;1819.792444914935;2156.2410823194955;1156.6032433435732;1819.792444914935;57.56123497255273
28200.544831;1191.2823694870433;1855.9766449525457;2205.4031355876805;1191.2823694870433;1855.9766449525457;57.30510395720434
28791.391094;1228.7000264814676;1891.8713307859487;2255.85480191553;1228.7000264814676;1891.8713307859487;56.99777575781174
29394.616526;1267.501053368798;1930.7338758768628;2309.608672426891;1267.501053368798;1930.7338758768628;56.71563478260891
30010.48049;1318.4246933891866;1966.2029995878158;2367.318716972114;1318.4246933891866;1966.2029995878158;56.15642678841594
