Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;896.2390278044641;1546.0136052839946;1787.0093627855188;896.2390278044641;1546.0136052839946;59.89871605446161
10209.515903;876.8368797883717;1569.7615465085516;1798.0528987362768;876.8368797883717;1569.7615465085516;60.813162425220256
10423.421498;889.2665102298579;1594.1360808509123;1825.3944150476348;889.2665102298579;1594.1360808509123;60.845648303733746
10641.808756;927.6784564745158;1618.6756886655025;1865.6629662625774;927.6784564745158;1618.6756886655025;60.18256715103108
10864.771573;917.386644095679;1643.9125510526515;1882.5638714990705;917.386644095679;1643.9125510526515;60.83626515254422
11092.405816;929.9925240935153;1670.0696134630093;1911.5487460910622;929.9925240935153;1670.0696134630093;60.88837944767342
11324.809359;965.0978062484962;1696.2953491169847;1951.6228342232453;965.0978062484962;1696.2953491169847;60.362528655726834
11562.082126;984.2021878091958;1722.9442479219847;1984.235577731601;984.2021878091958;1722.9442479219847;60.26357720060556
11804.326134;984.2963766730934;1750.8627159662155;2008.5715340242111;984.2963766730934;1750.8627159662155;60.65626630423068
12051.645539;1007.7925927951882;1779.2343748817443;2044.8278340373008;1007.7925927951882;1779.2343748817443;60.47194936884884
12304.14668;1017.8897183913126;1808.5562457960307;2075.325317393535;1017.8897183913126;1808.5562457960307;60.62836645859868
12561.938121;1031.6728865512632;1837.8917254457108;2107.6515222652033;1031.6728865512632;1837.8917254457108;60.692979157362565
12825.130702;1051.8834069955699;1868.7873190987416;2144.487058934343;1051.8834069955699;1868.7873190987416;60.62616619661495
13093.837587;1080.2274695768563;1899.5626758376154;2185.229906774978;1080.2274695768563;1899.5626758376154;60.37433697730482
13368.174308;1092.527517224547;1931.9651605494817;2219.4832185600812;1092.527517224547;1931.9651605494817;60.51181328820671
13648.25882;1129.1527339441152;1963.8480240831123;2265.3222636677137;1129.1527339441152;1963.8480240831123;60.10241110444819
13934.211547;1130.4294246162365;1996.9845057160107;2294.7369784156126;1130.4294246162365;1996.9845057160107;60.48717953496077
14226.15544;1147.9760688283116;2031.9060313386224;2333.771877196393;1147.9760688283116;2031.9060313386224;60.53463840257073
14524.216021;1170.5201247107486;2067.893484664875;2376.1946103533496;1170.5201247107486;2067.893484664875;60.48819972095196
14828.521445;1195.1476316735188;2103.949422430669;2419.706807371746;1195.1476316735188;2103.949422430669;60.40127626810114
15139.202552;1248.51087199036;2139.405846426346;2477.062125422243;1248.51087199036;2139.405846426346;59.73309092676396
15456.392922;1257.597750872971;2178.0325781276765;2515.030420171145;1257.597750872971;2178.0325781276765;59.9978286885773
15780.228934;1279.016067085803;2216.6665719276034;2559.1976850108526;1279.016067085803;2216.6665719276034;60.015064559443516
16110.849827;1304.1870591402499;2254.9875496919844;2604.970774211249;1304.1870591402499;2254.9875496919844;59.95677254717182
16448.397752;1369.047571688081;2295.4032514902474;2672.670451158734;1369.047571688081;2295.4032514902474;59.186877924149016
16793.017844;1367.4797162553405;2338.526408942544;2709.004713855533;1367.4797162553405;2338.526408942544;59.682556855011626
17144.858275;1423.015559307904;2379.557400671778;2772.5920553020806;1423.015559307904;2379.557400671778;59.1198627418512
17504.070322;1427.2057357729248;2423.956990926913;2812.913739538877;1427.2057357729248;2423.956990926913;59.51077680856453
17870.808433;1454.953052548717;2468.890341258988;2865.712459805197;1454.953052548717;2468.890341258988;59.48853539527044
18245.23029;1486.1005543779847;2516.742649928598;2922.7535687587783;1486.1005543779847;2516.742649928598;59.43875658504282
