Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;451.7425705833196;842.0520344384927;955.5746850870579;451.7425705833196;842.0520344384927;61.78741126523353
10209.515903;458.8243114934014;854.56236315525;969.9466899468646;458.8243114934014;854.56236315525;61.76813994672098
10423.421498;465.9259974301724;867.1943808360927;984.4354368037526;465.9259974301724;867.1943808360927;61.75176117630155
10641.808756;473.38343580683625;880.2601939394485;999.4748052505379;473.38343580683625;880.2601939394485;61.729670968029765
10864.771573;480.97500384030803;893.5141150225691;1014.7435282196922;480.97500384030803;893.5141150225691;61.706601016401216
11092.405816;488.5973787640647;906.9782594483349;1030.2120954672616;488.5973787640647;906.9782594483349;61.68825242749541
11324.809359;496.5684344217012;920.7105296432867;1046.0822575017896;496.5684344217012;920.7105296432867;61.66060512963659
11562.082126;504.5477585476862;934.8479966622984;1062.3131447548822;504.5477585476862;934.8479966622984;61.64377484391549
11804.326134;512.8003870467252;949.2441721219578;1078.9016337288458;512.8003870467252;949.2441721219578;61.62120933485092
12051.645539;521.1012413656283;964.1001658114569;1095.9177129102702;521.1012413656283;964.1001658114569;61.60854354373957
12304.14668;529.9017192879011;978.8414926225099;1113.0707523709966;529.9017192879011;978.8414926225099;61.570835037341766
12561.938121;538.5690215861526;994.1249515359566;1130.6374353782178;538.5690215861526;994.1249515359566;61.55329846524117
12825.130702;547.8789717321991;1009.637790855441;1148.7122513448646;547.8789717321991;1009.637790855441;61.5135719057474
13093.837587;557.1019397817668;1025.718439361899;1167.244999199233;557.1019397817668;1025.718439361899;61.49213738630868
13368.174308;566.7192523597007;1042.0637287458917;1186.1987716074104;566.7192523597007;1042.0637287458917;61.460743018809744
13648.25882;576.5152750756449;1058.635886525189;1205.4375979844497;576.5152750756449;1058.635886525189;61.428033029170955
13934.211547;586.5716027053418;1075.8757497830409;1225.387642369358;586.5716027053418;1075.8757497830409;61.40061160995652
14226.15544;597.2155595449075;1093.1043763327052;1245.609731063566;597.2155595449075;1093.1043763327052;61.35009523009941
14524.216021;608.0172256066694;1110.9542365060297;1266.4534189006426;608.0172256066694;1110.9542365060297;61.30843077656412
14828.521445;618.9076749126568;1129.21984939036;1287.7050043868658;618.9076749126568;1129.21984939036;61.27354414027115
15139.202552;630.280146404615;1147.8873703090715;1309.5413234666933;630.280146404615;1147.8873703090715;61.229762918245676
15456.392922;642.1072921127029;1166.7965265185455;1331.8092614485197;642.1072921127029;1166.7965265185455;61.17528891163231
15780.228934;653.9778622553757;1186.3318140370843;1354.647635850973;653.9778622553757;1186.3318140370843;61.133787782482344
16110.849827;666.421641539615;1206.1736186930316;1378.0321486610528;666.421641539615;1206.1736186930316;61.07895962857652
16448.397752;679.5464815895061;1226.636230278165;1402.290933462705;679.5464815895061;1226.636230278165;61.013904225394896
16793.017844;692.6507765530098;1247.4298551129693;1426.8308735399057;692.6507765530098;1247.4298551129693;60.95823678242376
