Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;-79.49364440201188;-21763.545049647295;21763.690228624546;-79.49364440201188;-21763.545049647295;-90.20927794882641
10209.515903;-20.95609088338737;-21296.19563613513;21296.205946841474;-20.95609088338737;-21296.19563613513;-90.05638073558656
10423.421498;8.498206832366032;-20849.588671025544;20849.5904029426;8.498206832366032;-20849.588671025544;-89.97664647654963
10641.808756;1.277237462413337;-20410.14598902968;20410.146028993517;1.277237462413337;-20410.14598902968;-89.9964145128616
10864.771573;47.39216866816996;-19948.89497557528;19948.951269783174;47.39216866816996;-19948.89497557528;-89.86388388220915
11092.405816;54.70055250898398;-19548.194591261843;19548.27112376651;54.70055250898398;-19548.194591261843;-89.8396730398289
11324.809359;79.06292852010148;-19122.093129593086;19122.25657717983;79.06292852010148;-19122.093129593086;-89.76310405581265
11562.082126;92.52658149997436;-18721.16870304536;18721.397351057134;92.52658149997436;-18721.16870304536;-89.7168264688963
11804.326134;122.15138582035432;-18367.45349119747;18367.85966606779;122.15138582035432;-18367.45349119747;-89.61896428949589
12051.645539;88.25725417228607;-17922.127846666095;17922.345156121683;88.25725417228607;-17922.127846666095;-89.71785005983301
12304.14668;135.12791694483704;-17583.649247303045;17584.16845933065;135.12791694483704;-17583.649247303045;-89.55969851195032
12561.938121;169.0399332031397;-17149.41597742525;17150.249061333943;169.0399332031397;-17149.41597742525;-89.43526000509667
12825.130702;165.209865983746;-16777.715510625545;16778.528900213612;165.209865983746;-16777.715510625545;-89.43582771317222
13093.837587;150.00101097666024;-16459.449174382353;16460.13266736845;150.00101097666024;-16459.449174382353;-89.47785695376588
13368.174308;148.3251379701339;-16058.234166281294;16058.919169286512;148.3251379701339;-16058.234166281294;-89.47079095742778
13648.25882;233.9959858532869;-15718.37733655455;15720.118963153782;233.9959858532869;-15718.37733655455;-89.14711348024176
13934.211547;216.65123496568822;-15393.120636812258;15394.645195556395;216.65123496568822;-15393.120636812258;-89.19364096960871
14226.15544;207.33353177143192;-15037.496369834626;15038.925635369913;207.33353177143192;-15037.496369834626;-89.21006905993036
14524.216021;208.96107010177633;-14722.064039095474;14723.546933400465;208.96107010177633;-14722.064039095474;-89.18681351628375
14828.521445;203.9784131124858;-14392.609808999207;14394.055172435461;203.9784131124858;-14392.609808999207;-89.18803330670995
15139.202552;226.640011103035;-14069.992618357302;14071.81786320665;226.640011103035;-14069.992618357302;-89.07715707327021
15456.392922;256.46281941051257;-13771.022540261576;13773.410433953255;256.46281941051257;-13771.022540261576;-88.93308295264323
15780.228934;265.42998652051335;-13493.62091100638;13496.231265345632;265.42998652051335;-13493.62091100638;-88.87309292203697
16110.849827;279.1051920042861;-13199.205782567848;13202.15637684906;279.1051920042861;-13199.205782567848;-88.78862660560252
16448.397752;287.889596219594;-12891.794236392067;12895.008299845456;287.889596219594;-12891.794236392067;-88.72072750768197
16793.017844;318.1358112650736;-12607.046635648188;12611.060037436091;318.1358112650736;-12607.046635648188;-88.55446147059152
17144.858275;305.50360428559696;-12334.982714388216;12338.765376506984;305.50360428559696;-12334.982714388216;-88.58123113928106
